response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
"",3,Stockholm,2,1,2018-10-12,9,2828,2018-10-14,9629
Ja,2,Stockholm,3,2,2018-10-12,9,2828,2018-10-15,9629
"",1,Stockholm,2,2,2018-08-17,9,83,2018-08-16,9412
"",2,Stockholm,2,3,2018-10-29,9,895,2018-10-29,9412
"",1,Stockholm,4,3,2018-03-22,9,1910,2018-03-22,9412
"",3,Stockholm,1,1,2018-08-17,9,83,2018-08-19,9412
"",3,Stockholm,3,1,2018-10-29,9,895,2018-10-30,9412
"",2,Stockholm,3,1,2018-03-22,9,1910,2018-03-23,9412
"",2,Stockholm,4,3,2018-08-17,9,83,2018-08-20,9412
"",1,Stockholm,4,2,2018-10-29,9,895,2018-10-31,9412
"",3,Stockholm,1,2,2018-03-22,9,1910,2018-03-25,9412
Intresserad,1,Stockholm,1,1,2018-08-22,9,3163,2018-08-21,9610
"",2,Stockholm,3,2,2018-08-22,9,3163,2018-08-22,9610
"",3,Stockholm,2,3,2018-08-22,9,3163,2018-08-23,9610
"",2,Stockholm,4,1,2018-09-07,9,1957,2018-09-06,9412
"",3,Stockholm,1,3,2018-09-07,9,1957,2018-09-09,9412
"",1,Stockholm,2,2,2018-09-07,9,1957,2018-09-10,9412
"",3,Stockholm,4,3,2018-08-20,9,431,2018-08-19,9111
"",2,Stockholm,2,2,2018-06-08,9,1118,2018-06-07,9111
"",1,Stockholm,4,2,2018-08-27,9,1263,2018-08-26,9111
"",2,Stockholm,1,3,2018-09-12,9,1998,2018-09-11,9111
"",1,Stockholm,1,2,2018-08-20,9,431,2018-08-20,9111
"",1,Stockholm,3,1,2018-06-08,9,1118,2018-06-10,9111
"",3,Stockholm,2,3,2018-08-27,9,1263,2018-08-27,9111
"",3,Stockholm,3,1,2018-09-12,9,1998,2018-09-12,9111
"",2,Stockholm,2,1,2018-08-20,9,431,2018-08-21,9111
"",3,Stockholm,4,3,2018-06-08,9,1118,2018-06-11,9111
"",2,Stockholm,3,1,2018-08-27,9,1263,2018-08-28,9111
"",1,Stockholm,2,2,2018-09-12,9,1998,2018-09-13,9111
"",1,Göteborg,4,2,2018-03-26,2,2558,2018-03-25,2342
Nej,3,Göteborg,1,3,2018-03-26,2,2558,2018-03-26,2342
"",2,Göteborg,3,1,2018-03-26,2,2558,2018-03-27,2342
"",2,Göteborg,1,1,2018-06-08,4,527,2018-06-07,4322
"",1,Göteborg,1,2,2018-09-12,4,583,2018-09-11,4322
"",2,Göteborg,3,3,2018-08-22,4,1589,2018-08-21,4322
"",3,Göteborg,1,2,2018-06-08,4,1666,2018-06-07,4322
"",1,Göteborg,2,2,2018-06-08,4,527,2018-06-10,4322
"",3,Göteborg,4,1,2018-09-12,4,583,2018-09-12,4322
"",3,Göteborg,2,2,2018-08-22,4,1589,2018-08-22,4322
"",1,Göteborg,3,1,2018-06-08,4,1666,2018-06-10,4322
"",3,Göteborg,3,3,2018-06-08,4,527,2018-06-11,4322
"",2,Göteborg,3,3,2018-09-12,4,583,2018-09-13,4322
"",1,Göteborg,4,1,2018-08-22,4,1589,2018-08-23,4322
"",2,Göteborg,2,3,2018-06-08,4,1666,2018-06-11,4322
Nej,2,Göteborg,4,2,2018-08-14,4,2398,2018-08-13,4114
"",3,Göteborg,1,3,2018-08-14,4,2398,2018-08-14,4114
Nej,1,Göteborg,2,1,2018-08-14,4,2398,2018-08-15,4114
Ja,3,Göteborg,2,2,2018-03-28,4,2,2018-03-27,4222
"",2,Göteborg,3,3,2018-03-28,4,2,2018-03-28,4222
"",1,Göteborg,4,1,2018-03-28,4,2,2018-03-29,4222
"",2,Göteborg,3,3,2018-08-15,5,505,2018-08-14,5311
"",3,Göteborg,1,1,2018-08-15,5,505,2018-08-15,5311
"",1,Göteborg,4,2,2018-08-15,5,505,2018-08-16,5311
"",2,Göteborg,1,1,2018-10-15,5,731,2018-10-14,5226
"",1,Göteborg,3,1,2018-05-18,5,910,2018-05-17,5226
"",1,Göteborg,3,2,2018-10-15,5,731,2018-10-15,5226
"",2,Göteborg,2,3,2018-05-18,5,910,2018-05-20,5226
"",3,Göteborg,2,3,2018-10-15,5,731,2018-10-16,5226
"",3,Göteborg,1,2,2018-05-18,5,910,2018-05-21,5226
"",1,Göteborg,1,2,2018-09-14,5,424,2018-09-13,5222
"",2,Göteborg,3,3,2018-09-14,5,424,2018-09-16,5222
"",3,Göteborg,2,1,2018-09-14,5,424,2018-09-17,5222
Ja,1,Göteborg,1,1,2018-10-31,5,267,2018-10-31,5311
Ja,2,Göteborg,3,3,2018-10-31,5,267,2018-11-01,5311
Ja,3,Göteborg,4,2,2018-10-31,5,267,2018-11-02,5311
"",2,Göteborg,3,1,2018-05-23,5,1697,2018-05-22,5223
Nej,3,Göteborg,1,3,2018-05-23,5,1697,2018-05-23,5223
Nej,1,Göteborg,4,2,2018-05-23,5,1697,2018-05-24,5223
"",1,Göteborg,4,1,2018-04-10,5,2132,2018-04-09,5242
"",2,Göteborg,1,3,2018-04-10,5,2132,2018-04-10,5242
"",3,Göteborg,3,2,2018-04-10,5,2132,2018-04-11,5242
"",3,Göteborg,1,1,2018-04-27,5,3288,2018-04-26,5343
Ja,2,Göteborg,4,2,2018-04-27,5,3288,2018-04-29,5343
"",1,Göteborg,3,3,2018-04-27,5,3288,2018-04-30,5343
Ja,1,Göteborg,3,2,2018-04-10,6,1323,2018-04-09,6113
Ja,3,Göteborg,1,1,2018-04-10,6,1323,2018-04-10,6113
"",2,Göteborg,4,3,2018-04-10,6,1323,2018-04-11,6113
"",2,Göteborg,1,3,2018-04-11,7,422,2018-04-10,7522
"",1,Göteborg,4,1,2018-04-11,7,422,2018-04-11,7522
"",3,Göteborg,3,2,2018-04-11,7,422,2018-04-12,7522
Intresserad,2,Göteborg,1,3,2018-03-28,8,1266,2018-03-27,8213
Ja,1,Göteborg,2,1,2018-03-28,8,1266,2018-03-28,8213
Ja,3,Göteborg,3,2,2018-03-28,8,1266,2018-03-29,8213
Ja,1,Göteborg,1,1,2018-09-28,8,1794,2018-09-27,8329
Ja,3,Göteborg,3,2,2018-09-28,8,1794,2018-09-30,8329
Ja,2,Göteborg,4,3,2018-09-28,8,1794,2018-10-01,8329
"",2,Göteborg,2,2,2018-03-30,9,2962,2018-03-29,9120
"",1,Göteborg,1,1,2018-03-30,9,2962,2018-04-01,9120
"",3,Göteborg,4,3,2018-03-30,9,2962,2018-04-02,9120
Ja,1,Göteborg,2,1,2018-03-26,9,2516,2018-03-25,9332
Nej,2,Göteborg,1,2,2018-03-26,9,2516,2018-03-26,9332
"",3,Göteborg,4,3,2018-03-26,9,2516,2018-03-27,9332
"",2,Göteborg,1,3,2018-06-04,9,3196,2018-06-03,9332
Ja,1,Göteborg,4,2,2018-06-04,9,3196,2018-06-04,9332
"",3,Göteborg,3,1,2018-06-04,9,3196,2018-06-05,9332
"",3,Göteborg,3,3,2018-04-16,9,1520,2018-04-15,9120
"",1,Göteborg,4,2,2018-04-16,9,1520,2018-04-16,9120
Ja,2,Göteborg,1,1,2018-04-16,9,1520,2018-04-17,9120
Ja,1,Göteborg,3,2,2018-04-10,9,624,2018-04-09,9310
"",3,Göteborg,1,1,2018-04-10,9,624,2018-04-10,9310
Ja,2,Göteborg,2,3,2018-04-10,9,624,2018-04-11,9310
"",1,Göteborg,2,1,2018-10-05,9,2489,2018-10-04,9412
"",3,Göteborg,3,3,2018-10-05,9,2489,2018-10-07,9412
"",2,Göteborg,4,2,2018-10-05,9,2489,2018-10-08,9412
"",3,Göteborg,3,1,2018-03-26,9,497,2018-03-25,9111
Nej,2,Göteborg,3,3,2018-03-26,9,2062,2018-03-25,9111
Nej,2,Göteborg,4,3,2018-03-26,9,497,2018-03-26,9111
Nej,1,Göteborg,2,1,2018-03-26,9,2062,2018-03-26,9111
Nej,1,Göteborg,2,2,2018-03-26,9,497,2018-03-27,9111
Nej,3,Göteborg,4,2,2018-03-26,9,2062,2018-03-27,9111
Ja,2,Stockholm,3,1,2018-10-26,5,3073,2018-10-25,5312
Ja,1,Stockholm,2,3,2018-10-26,5,3073,2018-10-29,5312
Ja,3,Stockholm,4,2,2018-10-26,5,3073,2018-10-30,5312
"",2,Stockholm,1,1,2018-09-07,5,154,2018-09-06,5343
"",1,Stockholm,1,1,2018-05-04,5,1052,2018-05-03,5343
"",3,Stockholm,2,2,2018-09-07,5,154,2018-09-09,5343
"",3,Stockholm,4,3,2018-05-04,5,1052,2018-05-06,5343
"",1,Stockholm,4,3,2018-09-07,5,154,2018-09-10,5343
"",2,Stockholm,2,2,2018-05-04,5,1052,2018-05-07,5343
"",1,Stockholm,3,2,2018-04-12,7,2678,2018-04-11,7522
"",2,Stockholm,4,3,2018-04-12,7,2678,2018-04-12,7522
"",3,Stockholm,1,1,2018-04-12,7,2678,2018-04-15,7522
Nej,3,Stockholm,1,3,2018-04-25,8,367,2018-04-24,8329
Nej,2,Stockholm,2,2,2018-04-25,8,367,2018-04-25,8329
"",1,Stockholm,4,1,2018-04-25,8,367,2018-04-26,8329
"",2,Stockholm,4,1,2018-04-25,8,1753,2018-04-24,8341
"",1,Stockholm,2,2,2018-04-25,8,1753,2018-04-25,8341
"",3,Stockholm,1,3,2018-04-25,8,1753,2018-04-26,8341
Ja,3,Stockholm,1,3,2018-05-25,9,1517,2018-05-24,9111
"",1,Stockholm,2,1,2018-05-25,9,1517,2018-05-27,9111
"",2,Stockholm,4,2,2018-05-25,9,1517,2018-05-28,9111
"",1,Stockholm,1,1,2018-08-29,9,2653,2018-08-28,9412
"",3,Stockholm,3,2,2018-08-29,9,2653,2018-08-29,9412
"",2,Stockholm,4,3,2018-08-29,9,2653,2018-08-30,9412
"",2,Stockholm,4,1,2018-03-22,9,1585,2018-03-22,9111
"",3,Stockholm,3,3,2018-03-22,9,1585,2018-03-23,9111
"",1,Stockholm,2,2,2018-03-22,9,1585,2018-03-25,9111
"",3,Malmö,4,2,2018-06-08,5,532,2018-06-07,5223
"",2,Malmö,3,3,2018-06-08,5,532,2018-06-10,5223
"",1,Malmö,1,1,2018-06-08,5,532,2018-06-11,5223
"",1,Malmö,4,2,2018-03-21,5,2863,2018-03-21,5120
"",3,Malmö,2,3,2018-03-21,5,2863,2018-03-22,5120
"",2,Malmö,3,1,2018-03-21,5,2863,2018-03-23,5120
"",2,Malmö,1,3,2018-09-12,5,491,2018-09-11,5343
"",3,Malmö,4,1,2018-09-12,5,491,2018-09-12,5343
"",1,Malmö,2,2,2018-09-12,5,491,2018-09-13,5343
"",2,Malmö,3,3,2018-05-09,5,1409,2018-05-08,5131
"",3,Malmö,4,1,2018-05-09,5,1409,2018-05-09,5131
"",1,Malmö,2,2,2018-05-09,5,1409,2018-05-10,5131
"",1,Malmö,2,2,2018-09-26,9,569,2018-09-25,9412
"",2,Malmö,2,2,2018-10-12,9,1433,2018-10-11,9412
"",3,Malmö,4,1,2018-09-26,9,569,2018-09-26,9412
"",3,Malmö,3,3,2018-10-12,9,1433,2018-10-14,9412
"",2,Malmö,1,3,2018-09-26,9,569,2018-09-27,9412
"",1,Malmö,1,1,2018-10-12,9,1433,2018-10-15,9412
"",1,Malmö,4,1,2018-08-15,9,773,2018-08-14,9111
"",2,Malmö,2,2,2018-08-15,9,773,2018-08-15,9111
"",3,Malmö,3,3,2018-08-15,9,773,2018-08-16,9111
Ja,1,Malmö,3,2,2018-03-21,5,221,2018-03-21,5343
Ja,3,Malmö,1,1,2018-03-21,5,221,2018-03-22,5343
Ja,2,Malmö,2,3,2018-03-21,5,221,2018-03-23,5343
"",2,Malmö,3,2,2018-05-07,5,396,2018-05-06,5131
"",1,Malmö,2,3,2018-05-07,5,396,2018-05-07,5131
"",3,Malmö,4,1,2018-05-07,5,396,2018-05-08,5131
"",2,Malmö,2,2,2018-10-15,5,2262,2018-10-14,5342
"",3,Malmö,4,3,2018-10-15,5,2262,2018-10-15,5342
"",1,Malmö,1,1,2018-10-15,5,2262,2018-10-16,5342
"",3,Malmö,1,3,2018-03-21,5,2816,2018-03-21,5241
"",1,Malmö,2,2,2018-03-21,5,2816,2018-03-22,5241
"",2,Malmö,3,1,2018-03-21,5,2816,2018-03-23,5241
"",2,Malmö,4,2,2018-03-21,5,1552,2018-03-21,5120
"",3,Malmö,1,1,2018-03-21,5,1552,2018-03-22,5120
"",1,Malmö,2,3,2018-03-21,5,1552,2018-03-23,5120
"",3,Malmö,4,3,2018-03-28,9,1460,2018-03-27,9111
"",3,Malmö,1,1,2018-09-26,9,1740,2018-09-25,9111
"",2,Malmö,1,1,2018-03-28,9,1460,2018-03-28,9111
Ja,2,Malmö,2,3,2018-09-26,9,1740,2018-09-26,9111
"",1,Malmö,2,2,2018-03-28,9,1460,2018-03-29,9111
"",1,Malmö,3,2,2018-09-26,9,1740,2018-09-27,9111
"",1,Stockholm,4,1,2018-09-28,3,354,2018-09-27,3323
"",2,Stockholm,3,3,2018-09-28,3,354,2018-09-30,3323
"",3,Stockholm,1,2,2018-09-28,3,354,2018-10-01,3323
"",3,Stockholm,1,2,2018-08-24,4,2324,2018-08-23,4111
"",1,Stockholm,4,3,2018-08-24,4,2324,2018-08-26,4111
"",2,Stockholm,3,1,2018-08-24,4,2324,2018-08-27,4111
"",2,Stockholm,1,3,2018-08-24,4,811,2018-08-23,4322
"",3,Stockholm,2,1,2018-10-26,4,1597,2018-10-25,4322
"",3,Stockholm,4,1,2018-03-30,4,1613,2018-03-29,4322
"",2,Stockholm,2,3,2018-03-28,4,1745,2018-03-27,4322
"",2,Stockholm,1,1,2018-05-07,4,1769,2018-05-06,4322
"",3,Stockholm,4,2,2018-08-24,4,811,2018-08-26,4322
"",2,Stockholm,1,2,2018-10-26,4,1597,2018-10-29,4322
"",2,Stockholm,2,3,2018-03-30,4,1613,2018-04-01,4322
"",1,Stockholm,4,2,2018-03-28,4,1745,2018-03-28,4322
"",1,Stockholm,3,3,2018-05-07,4,1769,2018-05-07,4322
"",1,Stockholm,3,1,2018-08-24,4,811,2018-08-27,4322
"",1,Stockholm,3,3,2018-10-26,4,1597,2018-10-30,4322
"",1,Stockholm,3,2,2018-03-30,4,1613,2018-04-02,4322
"",3,Stockholm,3,1,2018-03-28,4,1745,2018-03-29,4322
"",3,Stockholm,2,2,2018-05-07,4,1769,2018-05-08,4322
"",2,Stockholm,4,3,2018-09-26,4,1252,2018-09-25,4322
Nej,3,Stockholm,2,3,2018-03-22,4,1863,2018-03-22,4322
"",1,Stockholm,1,1,2018-09-26,4,1252,2018-09-26,4322
Ja,2,Stockholm,4,2,2018-03-22,4,1863,2018-03-23,4322
Ja,3,Stockholm,3,2,2018-09-26,4,1252,2018-09-27,4322
Intresserad,1,Stockholm,3,1,2018-03-22,4,1863,2018-03-25,4322
"",3,Stockholm,4,3,2018-03-22,4,1578,2018-03-22,4115
"",2,Stockholm,2,1,2018-03-22,4,1578,2018-03-23,4115
"",1,Stockholm,1,2,2018-03-22,4,1578,2018-03-25,4115
"",2,Stockholm,1,2,2018-04-11,4,2463,2018-04-10,4222
Ja,1,Stockholm,2,1,2018-04-11,4,2463,2018-04-11,4222
Ja,3,Stockholm,3,3,2018-04-11,4,2463,2018-04-12,4222
Nej,1,Stockholm,3,3,2018-06-04,4,2864,2018-06-03,4323
Nej,3,Stockholm,4,1,2018-06-04,4,2864,2018-06-04,4323
Nej,2,Stockholm,2,2,2018-06-04,4,2864,2018-06-05,4323
"",2,Stockholm,1,2,2018-05-16,4,827,2018-05-15,4323
"",1,Stockholm,2,3,2018-05-16,4,827,2018-05-16,4323
"",3,Stockholm,3,1,2018-05-16,4,827,2018-05-17,4323
"",3,Stockholm,1,1,2018-06-08,4,2529,2018-06-07,4223
"",2,Stockholm,4,2,2018-06-08,4,2529,2018-06-10,4223
"",1,Stockholm,2,3,2018-06-08,4,2529,2018-06-11,4223
"",3,Stockholm,3,1,2018-05-16,5,3164,2018-05-15,5223
"",1,Stockholm,4,3,2018-05-16,5,3164,2018-05-16,5223
"",2,Stockholm,1,2,2018-05-16,5,3164,2018-05-17,5223
Ja,2,Stockholm,3,2,2018-05-09,5,392,2018-05-08,5222
Ja,3,Stockholm,4,3,2018-05-09,5,392,2018-05-09,5222
Ja,1,Stockholm,2,1,2018-05-09,5,392,2018-05-10,5222
"",3,Stockholm,1,3,2018-09-26,5,371,2018-09-25,5223
"",1,Stockholm,1,3,2018-04-20,5,1842,2018-04-19,5223
Nej,2,Stockholm,1,2,2018-03-26,5,2252,2018-03-25,5223
"",1,Stockholm,2,2,2018-10-10,5,2283,2018-10-09,5223
"",2,Stockholm,3,2,2018-10-03,5,2676,2018-10-02,5223
"",1,Stockholm,4,3,2018-03-26,5,3046,2018-03-25,5223
"",2,Stockholm,3,2,2018-09-26,5,371,2018-09-26,5223
"",3,Stockholm,3,2,2018-04-20,5,1842,2018-04-22,5223
Nej,1,Stockholm,4,3,2018-03-26,5,2252,2018-03-26,5223
"",3,Stockholm,1,1,2018-10-10,5,2283,2018-10-10,5223
"",3,Stockholm,2,3,2018-10-03,5,2676,2018-10-03,5223
"",2,Stockholm,1,1,2018-03-26,5,3046,2018-03-26,5223
"",1,Stockholm,4,1,2018-09-26,5,371,2018-09-27,5223
"",2,Stockholm,2,1,2018-04-20,5,1842,2018-04-23,5223
Nej,3,Stockholm,2,1,2018-03-26,5,2252,2018-03-27,5223
"",2,Stockholm,3,3,2018-10-10,5,2283,2018-10-11,5223
"",1,Stockholm,4,1,2018-10-03,5,2676,2018-10-04,5223
"",3,Stockholm,2,2,2018-03-26,5,3046,2018-03-27,5223
"",2,Stockholm,4,1,2018-10-12,5,1086,2018-10-11,5120
"",3,Stockholm,2,3,2018-10-12,5,1086,2018-10-14,5120
"",1,Stockholm,3,2,2018-10-12,5,1086,2018-10-15,5120
"",3,Stockholm,2,2,2018-04-03,5,188,2018-04-02,5343
"",2,Stockholm,1,3,2018-03-22,5,383,2018-03-22,5343
Ja,2,Stockholm,3,1,2018-03-28,5,2856,2018-03-27,5343
"",2,Stockholm,3,3,2018-04-03,5,188,2018-04-03,5343
"",3,Stockholm,4,1,2018-03-22,5,383,2018-03-23,5343
Ja,1,Stockholm,1,3,2018-03-28,5,2856,2018-03-28,5343
"",1,Stockholm,4,1,2018-04-03,5,188,2018-04-04,5343
"",1,Stockholm,3,2,2018-03-22,5,383,2018-03-25,5343
Ja,3,Stockholm,2,2,2018-03-28,5,2856,2018-03-29,5343
"",2,Stockholm,3,2,2018-04-25,5,349,2018-04-24,5131
"",2,Stockholm,3,2,2018-06-04,5,816,2018-06-03,5131
"",3,Stockholm,3,3,2018-04-25,5,1501,2018-04-24,5131
"",1,Stockholm,4,2,2018-03-28,5,1894,2018-03-27,5131
"",2,Stockholm,3,2,2018-05-09,5,2375,2018-05-08,5131
"",3,Stockholm,1,1,2018-04-25,5,349,2018-04-25,5131
"",3,Stockholm,4,1,2018-06-04,5,816,2018-06-04,5131
"",1,Stockholm,1,1,2018-04-25,5,1501,2018-04-25,5131
"",3,Stockholm,1,3,2018-03-28,5,1894,2018-03-28,5131
"",1,Stockholm,2,1,2018-05-09,5,2375,2018-05-09,5131
"",1,Stockholm,2,3,2018-04-25,5,349,2018-04-26,5131
"",1,Stockholm,1,3,2018-06-04,5,816,2018-06-05,5131
"",2,Stockholm,4,2,2018-04-25,5,1501,2018-04-26,5131
"",2,Stockholm,3,1,2018-03-28,5,1894,2018-03-29,5131
"",3,Stockholm,1,3,2018-05-09,5,2375,2018-05-10,5131
"",3,Stockholm,4,3,2018-03-22,5,978,2018-03-22,5149
"",1,Stockholm,3,1,2018-03-22,5,978,2018-03-23,5149
"",2,Stockholm,1,2,2018-03-22,5,978,2018-03-25,5149
"",2,Stockholm,3,1,2018-04-23,6,1231,2018-04-22,6112
"",3,Stockholm,4,2,2018-04-23,6,1231,2018-04-23,6112
"",1,Stockholm,1,3,2018-04-23,6,1231,2018-04-24,6112
"",1,Stockholm,4,3,2018-09-12,7,1562,2018-09-11,7231
"",2,Stockholm,2,2,2018-10-26,7,2882,2018-10-25,7231
"",3,Stockholm,3,2,2018-09-12,7,1562,2018-09-12,7231
"",1,Stockholm,3,1,2018-10-26,7,2882,2018-10-29,7231
"",2,Stockholm,1,1,2018-09-12,7,1562,2018-09-13,7231
"",3,Stockholm,4,3,2018-10-26,7,2882,2018-10-30,7231
"",2,Stockholm,2,2,2018-04-23,7,1607,2018-04-22,7134
"",3,Stockholm,4,3,2018-04-23,7,1607,2018-04-23,7134
"",1,Stockholm,3,1,2018-04-23,7,1607,2018-04-24,7134
Nej,3,Stockholm,3,3,2018-04-13,7,2710,2018-04-12,7125
Ja,2,Stockholm,1,2,2018-04-13,7,2710,2018-04-15,7125
Nej,1,Stockholm,2,1,2018-04-13,7,2710,2018-04-16,7125
"",1,Stockholm,4,3,2018-05-09,8,168,2018-05-08,8329
"",3,Stockholm,1,1,2018-09-12,8,1316,2018-09-11,8329
"",2,Stockholm,1,1,2018-05-09,8,168,2018-05-09,8329
"",1,Stockholm,3,3,2018-09-12,8,1316,2018-09-12,8329
"",3,Stockholm,3,2,2018-05-09,8,168,2018-05-10,8329
"",2,Stockholm,4,2,2018-09-12,8,1316,2018-09-13,8329
"",2,Stockholm,2,3,2018-08-13,8,3103,2018-08-12,8332
"",3,Stockholm,3,2,2018-08-13,8,3103,2018-08-13,8332
"",1,Stockholm,1,1,2018-08-13,8,3103,2018-08-14,8332
"",3,Stockholm,4,1,2018-04-16,8,1780,2018-04-15,8162
"",1,Stockholm,3,2,2018-04-16,8,1780,2018-04-16,8162
"",2,Stockholm,1,3,2018-04-16,8,1780,2018-04-17,8162
"",2,Stockholm,3,1,2018-04-27,9,86,2018-04-26,9120
"",1,Stockholm,1,3,2018-04-27,9,86,2018-04-29,9120
"",3,Stockholm,4,2,2018-04-27,9,86,2018-04-30,9120
"",1,Stockholm,4,2,2018-08-20,9,1843,2018-08-19,9411
"",1,Stockholm,2,3,2018-10-12,9,2184,2018-10-11,9411
"",2,Stockholm,2,1,2018-08-20,9,1843,2018-08-20,9411
"",2,Stockholm,3,1,2018-10-12,9,2184,2018-10-14,9411
"",3,Stockholm,3,3,2018-08-20,9,1843,2018-08-21,9411
"",3,Stockholm,4,2,2018-10-12,9,2184,2018-10-15,9411
"",3,Stockholm,4,3,2018-10-24,9,372,2018-10-23,9412
"",1,Stockholm,3,2,2018-10-24,9,372,2018-10-24,9412
"",2,Stockholm,1,1,2018-10-24,9,372,2018-10-25,9412
"",2,Stockholm,2,2,2018-10-03,9,417,2018-10-02,9412
"",2,Stockholm,1,3,2018-04-10,9,2105,2018-04-09,9412
"",2,Stockholm,2,1,2018-10-12,9,2145,2018-10-11,9412
"",1,Stockholm,4,1,2018-10-03,9,417,2018-10-03,9412
"",1,Stockholm,4,1,2018-04-10,9,2105,2018-04-10,9412
"",1,Stockholm,1,2,2018-10-12,9,2145,2018-10-14,9412
"",3,Stockholm,3,3,2018-10-03,9,417,2018-10-04,9412
"",3,Stockholm,2,2,2018-04-10,9,2105,2018-04-11,9412
"",3,Stockholm,3,3,2018-10-12,9,2145,2018-10-15,9412
"",2,Stockholm,4,3,2018-10-15,9,2691,2018-10-14,9111
"",1,Stockholm,3,2,2018-10-15,9,2691,2018-10-15,9111
"",3,Stockholm,2,1,2018-10-15,9,2691,2018-10-16,9111
"",1,Malmö,3,1,2018-05-30,4,2748,2018-05-29,4222
"",3,Malmö,1,2,2018-05-30,4,2748,2018-05-30,4222
"",2,Malmö,4,3,2018-05-30,4,2748,2018-05-31,4222
"",2,Malmö,1,1,2018-08-08,5,2837,2018-08-07,5312
"",1,Malmö,3,3,2018-08-08,5,2837,2018-08-08,5312
"",3,Malmö,4,2,2018-08-08,5,2837,2018-08-09,5312
Nej,2,Malmö,3,3,2018-10-31,5,2711,2018-10-31,5342
Intresserad,3,Malmö,2,1,2018-10-31,5,2711,2018-11-01,5342
Ja,1,Malmö,1,2,2018-10-31,5,2711,2018-11-02,5342
"",2,Malmö,1,3,2018-08-22,5,674,2018-08-21,5343
"",1,Malmö,2,1,2018-08-22,5,674,2018-08-22,5343
"",3,Malmö,4,2,2018-08-22,5,674,2018-08-23,5343
"",1,Malmö,4,3,2018-04-16,9,2966,2018-04-15,9411
"",2,Malmö,2,2,2018-04-16,9,2966,2018-04-16,9411
"",3,Malmö,3,1,2018-04-16,9,2966,2018-04-17,9411
"",2,Stockholm,2,3,2018-03-22,5,1540,2018-03-22,5311
"",3,Stockholm,3,1,2018-03-22,5,1540,2018-03-23,5311
"",1,Stockholm,1,2,2018-03-22,5,1540,2018-03-25,5311
Intresserad,3,Stockholm,1,2,2018-09-07,5,1009,2018-09-06,5311
Intresserad,2,Stockholm,3,3,2018-09-07,5,1009,2018-09-09,5311
Intresserad,1,Stockholm,4,1,2018-09-07,5,1009,2018-09-10,5311
"",2,Stockholm,4,3,2018-03-22,5,736,2018-03-22,5120
"",1,Stockholm,1,1,2018-03-22,5,736,2018-03-23,5120
"",3,Stockholm,2,2,2018-03-22,5,736,2018-03-25,5120
"",2,Stockholm,1,2,2018-03-28,5,3192,2018-03-27,5341
"",1,Stockholm,3,3,2018-03-28,5,3192,2018-03-28,5341
"",3,Stockholm,2,1,2018-03-28,5,3192,2018-03-29,5341
"",1,Stockholm,1,1,2018-05-16,6,3173,2018-05-15,6113
"",2,Stockholm,3,3,2018-05-16,6,3173,2018-05-16,6113
"",3,Stockholm,2,2,2018-05-16,6,3173,2018-05-17,6113
"",3,Stockholm,4,2,2018-05-25,7,139,2018-05-24,7412
"",1,Stockholm,1,1,2018-05-25,7,139,2018-05-27,7412
"",2,Stockholm,2,3,2018-05-25,7,139,2018-05-28,7412
"",2,Stockholm,2,2,2018-09-26,9,1318,2018-09-25,9111
"",1,Stockholm,3,1,2018-09-26,9,1318,2018-09-26,9111
"",3,Stockholm,4,3,2018-09-26,9,1318,2018-09-27,9111
"",1,Stockholm,2,1,2018-05-16,9,2088,2018-05-15,9412
"",2,Stockholm,1,3,2018-05-16,9,2088,2018-05-16,9412
"",3,Stockholm,4,2,2018-05-16,9,2088,2018-05-17,9412
"",3,Stockholm,4,3,2018-04-10,9,927,2018-04-09,9111
"",1,Stockholm,2,1,2018-04-10,9,927,2018-04-10,9111
"",2,Stockholm,1,2,2018-04-10,9,927,2018-04-11,9111
"",2,Göteborg,1,1,2018-10-12,2,2059,2018-10-11,2342
"",1,Göteborg,3,3,2018-10-12,2,2059,2018-10-14,2342
"",3,Göteborg,4,2,2018-10-12,2,2059,2018-10-15,2342
"",3,Göteborg,4,1,2018-05-28,2,2306,2018-05-27,2330
"",1,Göteborg,2,3,2018-05-28,2,2306,2018-05-28,2330
"",2,Göteborg,1,2,2018-05-28,2,2306,2018-05-29,2330
Nej,2,Göteborg,4,3,2018-10-03,2,1765,2018-10-02,2431
Nej,3,Göteborg,3,2,2018-10-03,2,1765,2018-10-03,2431
Nej,1,Göteborg,2,1,2018-10-03,2,1765,2018-10-04,2431
"",3,Göteborg,3,3,2018-03-26,3,2721,2018-03-25,3512
"",1,Göteborg,1,1,2018-03-26,3,2721,2018-03-26,3512
"",2,Göteborg,2,2,2018-03-26,3,2721,2018-03-27,3512
Intresserad,2,Göteborg,3,1,2018-08-14,3,1253,2018-08-13,3422
Intresserad,3,Göteborg,1,3,2018-08-14,3,1253,2018-08-14,3422
"",1,Göteborg,4,2,2018-08-14,3,1253,2018-08-15,3422
"",3,Göteborg,4,2,2018-05-09,4,192,2018-05-08,4211
"",1,Göteborg,3,1,2018-05-09,4,192,2018-05-09,4211
"",2,Göteborg,2,3,2018-05-09,4,192,2018-05-10,4211
Nej,1,Göteborg,3,1,2018-04-16,4,699,2018-04-15,4322
Nej,2,Göteborg,4,3,2018-04-16,4,699,2018-04-16,4322
