response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
"",2,Göteborg,3,2,2018-03-26,5,1511,2018-03-26,5330
"",3,Göteborg,1,1,2018-03-26,5,1511,2018-03-27,5330
"",1,Göteborg,4,3,2018-08-08,9,1430,2018-08-07,9111
"",3,Göteborg,3,2,2018-08-08,9,1430,2018-08-08,9111
"",2,Göteborg,2,1,2018-08-08,9,1430,2018-08-09,9111
"",3,Göteborg,4,1,2018-05-16,9,173,2018-05-15,9120
Ja,1,Göteborg,2,3,2018-05-16,9,173,2018-05-16,9120
Ja,2,Göteborg,3,2,2018-05-16,9,173,2018-05-17,9120
"",3,Göteborg,4,1,2018-05-18,9,428,2018-05-17,9411
"",1,Göteborg,3,3,2018-05-18,9,428,2018-05-20,9411
"",2,Göteborg,1,2,2018-05-18,9,428,2018-05-21,9411
"",3,Göteborg,1,1,2018-09-21,9,1350,2018-09-20,9412
"",1,Göteborg,3,3,2018-09-21,9,1350,2018-09-23,9412
"",2,Göteborg,4,2,2018-09-21,9,1350,2018-09-24,9412
"",3,Göteborg,4,1,2018-10-12,9,1201,2018-10-11,9411
"",1,Göteborg,1,2,2018-10-12,9,1201,2018-10-14,9411
"",2,Göteborg,2,3,2018-10-12,9,1201,2018-10-15,9411
Ja,3,Göteborg,1,1,2018-08-20,9,434,2018-08-19,9412
Nej,2,Göteborg,3,3,2018-08-20,9,434,2018-08-20,9412
Nej,1,Göteborg,2,2,2018-08-20,9,434,2018-08-21,9412
"",2,Göteborg,1,3,2018-09-12,9,93,2018-09-11,9111
"",3,Göteborg,4,2,2018-09-12,9,93,2018-09-12,9111
"",1,Göteborg,3,1,2018-09-12,9,93,2018-09-13,9111
"",2,Malmö,3,1,2018-03-28,4,499,2018-03-27,4410
"",3,Malmö,2,2,2018-03-28,4,499,2018-03-28,4410
"",1,Malmö,1,3,2018-03-28,4,499,2018-03-29,4410
"",3,Malmö,1,1,2018-03-28,4,994,2018-03-27,4115
"",2,Malmö,4,3,2018-03-28,4,994,2018-03-28,4115
"",1,Malmö,2,2,2018-03-28,4,994,2018-03-29,4115
"",3,Malmö,4,2,2018-09-28,7,1703,2018-09-27,7522
"",1,Malmö,3,3,2018-09-28,7,1703,2018-09-30,7522
"",2,Malmö,2,1,2018-09-28,7,1703,2018-10-01,7522
"",2,Göteborg,3,2,2018-09-12,5,1059,2018-09-11,5343
"",3,Göteborg,2,1,2018-09-12,5,1059,2018-09-12,5343
"",1,Göteborg,1,3,2018-09-12,5,1059,2018-09-13,5343
"",2,Göteborg,1,3,2018-04-13,9,49,2018-04-12,9412
"",1,Göteborg,2,1,2018-04-13,9,49,2018-04-15,9412
"",3,Göteborg,4,2,2018-04-13,9,49,2018-04-16,9412
"",3,Stockholm,3,3,2018-04-10,2,933,2018-04-09,2431
"",2,Stockholm,1,1,2018-04-10,2,933,2018-04-10,2431
"",1,Stockholm,2,2,2018-04-10,2,933,2018-04-11,2431
Ja,1,Stockholm,4,2,2018-09-21,3,1187,2018-09-20,3512
Ja,3,Stockholm,2,3,2018-09-21,3,1187,2018-09-23,3512
"",2,Stockholm,3,1,2018-09-21,3,1187,2018-09-24,3512
"",2,Stockholm,1,3,2018-03-26,4,1397,2018-03-25,4119
"",3,Stockholm,2,1,2018-03-26,4,1397,2018-03-26,4119
"",1,Stockholm,3,2,2018-03-26,4,1397,2018-03-27,4119
Ja,3,Stockholm,2,3,2018-05-09,4,730,2018-05-08,4114
"",1,Stockholm,4,2,2018-05-09,4,730,2018-05-09,4114
Ja,2,Stockholm,3,1,2018-05-09,4,730,2018-05-10,4114
"",1,Stockholm,2,2,2018-03-26,4,228,2018-03-25,4225
"",2,Stockholm,1,1,2018-03-26,4,228,2018-03-26,4225
"",3,Stockholm,4,3,2018-03-26,4,228,2018-03-27,4225
"",2,Stockholm,2,3,2018-06-04,4,460,2018-06-03,4322
"",2,Stockholm,3,1,2018-05-18,4,1461,2018-05-17,4322
"",1,Stockholm,4,2,2018-03-22,4,2939,2018-03-22,4322
"",3,Stockholm,1,3,2018-10-05,4,2972,2018-10-04,4322
"",3,Stockholm,4,1,2018-06-04,4,460,2018-06-04,4322
Ja,1,Stockholm,2,3,2018-05-18,4,1461,2018-05-20,4322
"",3,Stockholm,1,1,2018-03-22,4,2939,2018-03-23,4322
"",2,Stockholm,3,1,2018-10-05,4,2972,2018-10-07,4322
"",1,Stockholm,3,2,2018-06-04,4,460,2018-06-05,4322
"",3,Stockholm,4,2,2018-05-18,4,1461,2018-05-21,4322
"",2,Stockholm,2,3,2018-03-22,4,2939,2018-03-25,4322
"",1,Stockholm,2,2,2018-10-05,4,2972,2018-10-08,4322
"",3,Stockholm,1,2,2018-09-17,4,1428,2018-09-16,4115
Nej,2,Stockholm,4,1,2018-09-17,4,1428,2018-09-17,4115
Nej,1,Stockholm,2,3,2018-09-17,4,1428,2018-09-18,4115
Ja,3,Stockholm,3,1,2018-05-16,4,2383,2018-05-15,4322
Ja,2,Stockholm,2,2,2018-05-16,4,2383,2018-05-16,4322
"",1,Stockholm,4,3,2018-05-16,4,2383,2018-05-17,4322
"",2,Stockholm,2,3,2018-03-22,5,394,2018-03-22,5222
"",1,Stockholm,4,2,2018-03-22,5,394,2018-03-23,5222
"",3,Stockholm,3,1,2018-03-22,5,394,2018-03-25,5222
"",2,Stockholm,2,1,2018-09-19,5,222,2018-09-18,5312
"",1,Stockholm,1,2,2018-09-19,5,222,2018-09-19,5312
"",3,Stockholm,3,3,2018-09-19,5,222,2018-09-20,5312
"",3,Stockholm,3,2,2018-05-07,5,2289,2018-05-06,5242
"",1,Stockholm,2,3,2018-05-07,5,2289,2018-05-07,5242
"",2,Stockholm,4,1,2018-05-07,5,2289,2018-05-08,5242
"",3,Stockholm,4,1,2018-10-05,5,641,2018-10-04,5230
"",1,Stockholm,1,2,2018-10-05,5,641,2018-10-07,5230
"",2,Stockholm,2,3,2018-10-05,5,641,2018-10-08,5230
"",2,Stockholm,2,3,2018-09-07,5,1752,2018-09-06,5343
"",1,Stockholm,2,3,2018-09-07,5,2725,2018-09-06,5343
"",3,Stockholm,3,1,2018-09-07,5,1752,2018-09-09,5343
"",3,Stockholm,4,2,2018-09-07,5,2725,2018-09-09,5343
"",1,Stockholm,4,2,2018-09-07,5,1752,2018-09-10,5343
Ja,2,Stockholm,1,1,2018-09-07,5,2725,2018-09-10,5343
"",1,Stockholm,2,2,2018-04-27,5,2876,2018-04-26,5131
"",3,Stockholm,3,1,2018-04-27,5,2876,2018-04-29,5131
"",2,Stockholm,1,3,2018-04-27,5,2876,2018-04-30,5131
Nej,3,Stockholm,4,3,2018-03-22,5,3310,2018-03-22,5342
Nej,1,Stockholm,3,2,2018-03-22,5,3310,2018-03-23,5342
Nej,2,Stockholm,2,1,2018-03-22,5,3310,2018-03-25,5342
"",3,Stockholm,1,3,2018-04-16,6,739,2018-04-15,6113
"",1,Stockholm,4,1,2018-04-16,6,739,2018-04-16,6113
"",2,Stockholm,3,2,2018-04-16,6,739,2018-04-17,6113
"",2,Stockholm,3,2,2018-08-31,7,1959,2018-08-30,7612
"",3,Stockholm,4,1,2018-08-31,7,1959,2018-09-02,7612
"",1,Stockholm,1,3,2018-08-31,7,1959,2018-09-03,7612
"",3,Stockholm,1,1,2018-08-17,7,2362,2018-08-16,7231
"",1,Stockholm,4,2,2018-08-17,7,2362,2018-08-19,7231
"",2,Stockholm,3,3,2018-08-17,7,2362,2018-08-20,7231
Nej,3,Stockholm,1,2,2018-08-22,7,1586,2018-08-21,7233
Nej,1,Stockholm,2,3,2018-08-22,7,1586,2018-08-22,7233
Nej,2,Stockholm,3,1,2018-08-22,7,1586,2018-08-23,7233
"",2,Stockholm,2,1,2018-10-15,7,2981,2018-10-14,7223
"",1,Stockholm,3,3,2018-10-15,7,2981,2018-10-15,7223
"",3,Stockholm,4,2,2018-10-15,7,2981,2018-10-16,7223
"",3,Stockholm,2,3,2018-05-23,7,2439,2018-05-22,7420
"",1,Stockholm,4,2,2018-05-23,7,2439,2018-05-23,7420
Ja,2,Stockholm,3,1,2018-05-23,7,2439,2018-05-24,7420
"",1,Stockholm,4,1,2018-08-29,7,41,2018-08-28,7522
"",3,Stockholm,3,2,2018-08-29,7,41,2018-08-29,7522
"",2,Stockholm,2,3,2018-08-29,7,41,2018-08-30,7522
"",3,Stockholm,3,2,2018-09-26,8,1257,2018-09-25,8329
"",3,Stockholm,4,3,2018-05-16,8,1470,2018-05-15,8329
"",2,Stockholm,1,1,2018-06-08,8,1603,2018-06-07,8329
"",2,Stockholm,2,1,2018-09-26,8,1257,2018-09-26,8329
"",1,Stockholm,2,2,2018-05-16,8,1470,2018-05-16,8329
"",1,Stockholm,4,3,2018-06-08,8,1603,2018-06-10,8329
